ChuckDrivePositionCountActual	ChuckDrivePositionCountActual	ChuckTempControlDCBiasActVoltage	ChuckTempControlDCBiasActVoltage	ChuckTempControlSensor	ChuckTempControlSensor	CurrentStepNumber	CurrentStepNumber	DCActualCurrent	DCActualCurrent	DCActualPower	DCActualPower	DCActualVoltage	DCActualVoltage	DCHardArcPerRun	DCHardArcPerRun	DCMicroArcPerRun	DCMicroArcPerRun	DCPowerCorrection	DCPowerCorrection	DCShieldLifeCounter	DCShieldLifeCounter	DCTargetLifeCounter	DCTargetLifeCounter	FlexiCathMagnetPositionSensor	FlexiCathMagnetPositionSensor	GasVacuumSystemGas1Sensor	GasVacuumSystemGas1Sensor	GasVacuumSystemGas3Sensor	GasVacuumSystemGas3Sensor	GasVacuumSystemPressureReaderManagerPressure	GasVacuumSystemPressureReaderManagerPressure	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	GasVacuumSystemPressureReaderManagerWiderangeGaugeSensor	MatchingSeriesCapacitorPositionSensor	MatchingSeriesCapacitorPositionSensor	MatchingShuntCapacitorPositionSensor	MatchingShuntCapacitorPositionSensor	ProcessTimerTimeCorrection	ProcessTimerTimeCorrection	RFBiasDCVoltageSensor	RFBiasDCVoltageSensor	RFBiasLoadPowerCorrection	RFBiasLoadPowerCorrection	RFBiasLoadPowerSensor	RFBiasLoadPowerSensor	RFBiasReflectedPowerSensor	RFBiasReflectedPowerSensor	
16432	12298	16557	0	17555	82	16432	1	17430	0.0	17055	0	16681	1	17305	151	17180	4322	16557	-4.2	16931	50.5058	16806	806.359	16557	25.14	16432	0.0	17555	0.0	17430	8.26216e-4	16931	8.26216e-4	16806	660	16681	350	17430	-3.36	17555	0	17180	-4.8	17305	0	17055	0	---	---	
17679	12298	17804	-1	18802	82	17679	1	18678	0.0	18303	0	17929	1	18553	151	18428	4322	17804	-4.2	18178	50.5058	18054	806.359	17804	25.14	17679	0.0	18802	0.0	18678	8.10878e-4	18178	8.10878e-4	18054	660	17929	350	18678	-3.36	18802	-1	18428	-4.8	18553	0	18303	0	---	---	
18927	12298	19052	-1	20050	82	18927	1	19925	0.0	19551	0	19177	1	19800	151	19676	4322	19052	-4.2	19426	50.5058	19301	806.359	19052	25.14	18927	0.0	20050	0.0	19925	8.03316e-4	19426	8.10878e-4	19301	660	19177	350	19925	-3.36	20050	0	19676	-4.8	19800	0	19551	0	---	---	
20175	12298	20300	0	21298	82	20175	1	21174	0.0	20799	0	20425	1	21048	151	20924	4322	20300	-4.2	20674	50.5058	20549	806.359	20300	25.14	20175	0.0	21298	0.0	21174	7.88403e-4	20674	7.88403e-4	20549	660	20425	350	21174	-3.36	21298	0	20924	-4.8	21048	0	20799	0	---	---	
21423	12298	21548	0	22546	82	21423	1	22421	0.0	22047	0	21672	1	22297	151	22172	4322	21548	-4.2	21922	50.5058	21797	806.359	21548	25.14	21423	0.0	22546	0.0	22421	7.81051e-4	21922	7.81051e-4	21797	660	21672	350	22421	-3.36	22546	-1	22172	-4.8	22297	0	22047	0	---	---	
22671	12298	22796	-1	23794	82	22671	1	23669	0.0	23295	0	22920	1	23545	151	23420	4322	22796	-4.2	23170	50.5058	23045	806.359	22796	25.14	22671	0.0	23794	0.0	23670	7.73766e-4	23170	7.81051e-4	23045	660	22920	350	23670	-3.36	23794	0	23420	-4.8	23545	0	23295	0	---	---	
23919	12298	24044	0	25042	82	23919	1	24918	0.0	24543	0	24169	1	24793	151	24668	4322	24044	-4.2	24418	50.5058	24293	806.359	24044	25.14	23919	0.0	25042	0.0	24918	7.6655e-4	24418	7.6655e-4	24293	660	24169	350	24918	-3.36	25042	0	24668	-4.8	24793	0	24543	0	---	---	
25167	12298	25292	0	26290	81	25167	1	26166	0.0	25791	0	25417	0	26041	151	25916	4322	25292	-4.2	25666	50.5058	25542	806.359	25292	25.14	25167	0.0	26290	0.0	26166	7.59402e-4	25666	7.6655e-4	25542	660	25417	350	26166	-3.36	26290	-1	25916	-4.8	26041	0	25791	0	---	---	
26415	12298	26540	-1	27539	81	26415	1	27414	0.0	27039	0	26665	0	27289	151	27164	4322	26540	-4.2	26915	50.5058	26790	806.359	26540	25.14	26415	0.0	27539	0.0	27414	7.59402e-4	26915	7.5232e-4	26790	660	26665	350	27414	-3.36	27539	-1	27164	-4.8	27289	0	27039	0	---	---	
27663	12298	27789	0	28787	81	27663	1	28662	0.0	28288	0	27913	0	28537	151	28412	4322	27789	-4.2	28163	50.5058	28038	806.359	27789	25.14	27663	0.0	28787	0.0	28662	7.45303e-4	28163	7.45303e-4	28038	660	27913	350	28662	-3.36	28787	0	28412	-4.8	28537	0	28288	0	---	---	
28912	12298	29036	0	30035	82	28912	1	29910	0.0	29536	0	29161	0	29785	151	29660	4322	29036	-4.2	29411	50.5058	29286	806.359	29036	25.14	28912	0.0	30035	0.0	29910	7.45303e-4	29411	7.45303e-4	29286	660	29161	350	29910	-3.36	30035	0	29660	-4.8	29785	0	29536	0	---	---	
30160	12298	30285	0	31283	82	30160	1	31158	0.0	30784	0	30409	0	31033	151	30909	4322	30285	-4.2	30659	50.5058	30534	806.359	30285	25.14	30160	0.0	31283	0.0	31158	7.31468e-4	30659	7.31468e-4	30534	660	30409	350	31158	-3.36	31283	0	30909	-4.8	31033	0	30784	0	---	---	
31408	12298	31532	0	32531	82	31408	1	32406	0.0	32032	0	31657	0	32281	151	32157	4322	31533	-4.2	31907	50.5058	31782	806.359	31533	25.14	31408	0.0	32531	0.0	32406	7.31468e-4	31907	7.31468e-4	31782	660	31657	350	32406	-3.36	32531	0	32157	-4.8	32281	0	32032	0	---	---	
32656	12298	32781	0	33779	81	32656	1	33654	0.0	33280	0	32905	0	33529	151	33405	4322	32781	-4.2	33155	50.5058	33030	806.359	32781	25.14	32656	0.0	33779	0.0	33654	7.24645e-4	33155	7.24645e-4	33030	660	32905	350	33654	-3.36	33779	0	33405	-4.8	33529	0	33280	0	---	---	
33904	12298	34028	0	---	---	33904	1	---	---	34528	0	34153	0	---	---	34653	4322	34028	-4.2	34403	50.5058	34278	806.359	34028	25.14	33904	0.0	---	---	---	---	34403	7.24645e-4	34278	660	34153	350	---	---	---	---	34653	-4.8	---	---	34528	0	---	---	
35152	12298	35277	0	35027	81	35152	1	34902	0.0	35776	0	35401	0	34777	151	35901	4322	35277	-4.2	35651	50.5058	35526	806.359	35277	25.14	35152	0.0	35027	0.0	34902	7.17888e-4	35651	7.17888e-4	35526	660	35401	350	34902	-3.36	35027	0	35901	-4.8	34777	0	35776	0	---	---	
36400	12298	36524	-1	36275	81	36400	1	36150	0.0	37024	0	36649	0	36025	151	37149	4322	36524	-4.2	36899	50.5058	36774	806.359	36524	25.14	36400	0.0	36275	0.0	36150	6.23763e-4	36899	1.74834e-3	36774	660	36649	350	36150	-3.36	36275	-1	37149	-4.8	36025	0	37024	0	---	---	
37648	12298	37773	0	37523	81	37648	1	37398	0.0	38272	0	37897	0	37274	151	38397	4322	37773	-4.2	38147	50.5058	38022	806.359	37773	25.14	37648	0.0	37523	0.0	37398	9.96498e-4	38147	8.57769e-4	38022	660	37897	350	37398	-3.36	37523	-1	38397	-4.8	37274	0	38272	0	---	---	
38896	12298	39020	0	38771	81	38896	1	38646	0.0	39520	0	39145	0	38521	151	39645	4322	39020	-4.2	39395	50.5058	39270	806.359	39021	25.14	38896	0.0	38771	0.0	38646	1.73203e-3	39395	6.91481e-4	39270	660	39145	350	38646	-3.36	38771	0	39645	-4.8	38521	0	39520	0	---	---	
40144	12298	40268	0	40019	81	40144	1	39894	0.0	40768	0	40393	0	39769	151	40893	4322	40268	-4.2	40643	50.5058	40518	806.359	40268	25.14	40144	0.0	40019	0.0	39894	7.73766e-4	40643	7.11194e-4	40518	660	40393	350	39894	-3.36	40019	0	40893	-4.8	39769	0	40768	0	---	---	
41392	12298	41517	0	41267	81	41392	1	41142	0.0	42016	0	41641	0	41017	151	42141	4322	41517	-4.2	41891	50.5058	41766	806.359	41517	25.14	41392	0.0	41267	0.0	41142	7.04561e-4	41891	7.17888e-4	41766	660	41641	350	41142	-3.36	41267	0	42141	-4.8	41017	0	42016	0	---	---	
42640	12298	42765	0	42515	81	42640	1	42390	0.0	43264	0	42889	0	42265	151	43389	4322	42765	-4.2	43139	50.5058	43014	806.359	42765	25.14	42640	0.0	42515	0.0	42390	7.11194e-4	43139	7.11194e-4	43014	660	42889	350	42390	-3.36	42515	0	43389	-4.8	42265	0	43264	0	---	---	
43888	12298	44013	0	43763	81	43888	1	43638	0.0	44512	0	44138	0	43513	151	44637	4322	44013	-4.2	44387	50.5058	44262	806.359	44013	25.14	43888	0.0	43763	0.0	43638	7.04561e-4	44387	7.11194e-4	44262	660	44138	350	43638	-3.36	43763	0	44637	-4.8	43513	0	44512	0	---	---	
45136	12298	45261	0	45011	81	45136	1	44886	0.0	45760	0	45386	0	44762	151	45885	4322	45261	-4.2	45635	50.5058	45510	806.359	45261	25.14	45136	0.0	45011	0.0	44886	7.04561e-4	45635	7.04561e-4	45510	660	45386	350	44886	-3.36	45011	0	45885	-4.8	44762	0	45760	0	---	---	
46384	12298	46509	0	46259	81	46384	1	46135	0.0	47008	0	46634	0	46010	151	47133	4322	46509	-4.2	46883	50.5058	46758	806.359	46509	25.14	46384	0.0	46259	0.0	46135	7.04561e-4	46883	6.9799e-4	46758	660	46634	350	46135	-3.36	46259	0	47133	-4.8	46010	0	47008	0	---	---	
47632	12298	47757	0	47507	81	47632	1	47383	0.0	48256	0	47882	0	47258	151	48381	4322	47757	-4.2	48132	50.5058	48007	806.359	47757	25.14	47632	0.0	47507	0.0	47383	6.9799e-4	48132	6.9799e-4	48007	660	47882	350	47383	-3.36	47507	0	48381	-4.8	47258	0	48256	0	---	---	
48880	12298	49005	0	48755	81	48880	1	48631	0.0	49504	0	49130	0	48506	151	49629	4322	49005	-4.2	49379	50.5058	49255	806.359	49005	25.14	48880	0.0	48755	0.0	48631	6.9799e-4	49380	6.91481e-4	49255	660	49130	350	48631	-3.36	48755	0	49629	-4.8	48506	0	49504	0	---	---	
50128	12298	50253	-1	50003	81	50128	1	49879	0.0	50752	0	50378	0	49754	151	50877	4322	50253	-4.2	50627	50.5058	50503	806.359	50253	25.14	50128	0.0	50003	0.0	49879	6.91481e-4	50627	6.91481e-4	50503	660	50378	350	49879	-3.36	50004	0	50877	-4.8	49754	0	50752	0	---	---	
51376	12298	51501	-1	51252	81	51376	1	51127	0.0	52000	0	51626	0	51002	151	52125	4322	51501	-4.2	51876	50.5058	51751	806.359	51501	25.14	51376	0.0	51252	0.0	51127	6.91481e-4	51876	6.91481e-4	51751	660	51626	350	51127	-3.36	51252	-1	52125	-4.8	51002	0	52000	0	---	---	
52624	12298	52749	0	52500	81	52624	1	52375	0.0	53248	0	52874	0	52250	151	53373	4322	52749	-4.2	53124	50.5058	52999	806.359	52749	25.14	52624	0.0	52500	0.0	52375	6.85033e-4	53124	6.85033e-4	52999	660	52874	350	52375	-3.36	52500	0	53373	-4.8	52250	0	53248	0	---	---	
53872	12298	53997	0	53747	81	53872	1	53623	0.0	54496	0	54122	0	53498	151	54621	4322	53997	-4.2	54371	50.5058	54247	806.359	53997	25.14	53872	0.0	53747	0.0	53623	6.85033e-4	54371	6.85033e-4	54247	660	54122	350	53623	-3.36	53747	0	54621	-4.8	53498	0	54496	0	---	---	
55120	12298	55245	0	54995	81	55120	1	54871	0.0	55744	0	55370	0	54746	151	55869	4322	55245	-4.2	55620	50.5058	55495	806.359	55245	25.14	55120	0.0	54995	0.0	54871	6.78643e-4	55620	6.72315e-4	55495	660	55370	350	54871	-3.36	54995	0	55869	-4.8	54746	0	55744	0	---	---	
56368	12298	56493	0	56243	81	56368	1	56119	0.0	56992	0	56618	0	55994	151	57117	4322	56493	-4.2	56867	50.5058	56743	806.359	56493	25.14	56368	0.0	56243	0.0	56119	6.72315e-4	56867	6.72315e-4	56743	660	56618	350	56119	-3.36	56244	0	57117	-4.8	55994	0	56992	0	---	---	
57616	12298	57741	0	57491	81	57616	1	57367	0.0	58240	0	57866	0	57242	151	58365	4322	57741	-4.2	58115	50.5058	57991	806.359	57741	25.14	57616	0.0	57491	0.0	57367	6.72315e-4	58115	6.72315e-4	57991	660	57866	350	57367	-3.36	57491	0	58365	-4.8	57242	0	58240	0	---	---	
58864	12298	58989	0	58739	81	58864	1	58615	0.0	59488	0	59114	0	58490	151	59613	4322	58989	-4.2	59363	50.5058	59239	806.359	58989	25.14	58864	0.0	58739	0.0	58615	6.72315e-4	59363	6.72315e-4	59239	660	59114	350	58615	-3.36	58739	0	59613	-4.8	58490	0	59488	0	---	---	
60112	12298	60237	0	59987	81	60112	1	59863	0.0	60736	0	60362	0	59738	151	60861	4322	60237	-4.2	60611	50.5058	60487	806.359	60237	25.14	60112	0.0	59987	0.0	59863	6.72315e-4	60611	6.66046e-4	60487	660	60362	350	59863	-3.36	59987	0	60861	-4.8	59738	0	60736	0	---	---	
61360	12298	61485	0	61235	81	61360	1	61110	0.0	61984	0	61610	0	60986	151	62109	4322	61485	-4.2	61859	50.5058	61735	806.359	61485	25.14	61360	0.0	61235	0.0	61111	6.66046e-4	61859	6.66046e-4	61735	660	61610	350	61111	-3.36	61235	0	62109	-4.8	60986	0	61984	0	---	---	
62608	12298	62733	0	62483	81	62608	1	62359	0.0	63232	0	62858	0	62234	151	63357	4322	62733	-4.2	63107	50.5058	62983	806.359	62733	25.14	62608	0.0	62483	0.0	62359	6.66046e-4	63107	6.5368e-4	62983	660	62858	350	62359	-3.36	62483	0	63357	-4.8	62234	0	63232	0	---	---	
63856	12298	63981	0	63731	81	63856	1	63607	0.0	64480	0	64106	0	63482	151	64605	4322	63981	-4.2	64356	50.5058	64231	806.359	63981	25.14	63856	0.0	63732	0.0	63607	6.5368e-4	64356	6.5368e-4	64231	660	64106	350	63607	-3.36	63732	0	64605	-4.8	63482	0	64480	0	---	---	
65104	12298	65229	0	64980	81	65104	1	64855	0.0	65728	0	65354	0	64730	151	65853	4322	65229	-4.2	65603	50.5058	65479	806.359	65229	25.14	65104	0.0	64980	0.0	64855	6.5368e-4	65603	6.47585e-4	65479	660	65354	350	64855	-3.36	64980	0	65853	-4.8	64730	0	65728	0	---	---	
66352	12298	66477	-1	66227	81	66352	1	66103	0.0	66976	0	66602	0	65978	151	67101	4322	66477	-4.2	66852	50.5058	66727	806.359	66477	25.14	66352	0.0	66227	0.0	66103	6.47585e-4	66852	6.47585e-4	66727	660	66602	350	66103	-3.36	66227	-1	67101	-4.8	65978	0	66976	0	---	---	
67600	12298	67725	-1	67476	81	67600	1	67351	0.0	68224	0	67850	0	67226	151	68349	4322	67725	-4.2	68100	50.5058	67975	806.359	67725	25.14	67600	0.0	67476	0.0	67351	6.5368e-4	68100	6.47585e-4	67975	660	67850	350	67351	-3.36	67476	-1	68349	-4.8	67226	0	68224	0	---	---	
68848	12298	68973	0	68724	81	68848	1	68599	0.0	69472	0	69099	0	68474	151	69597	4322	68973	-4.2	69348	50.5058	69223	806.359	68973	25.14	68848	0.0	68724	0.0	68599	6.47585e-4	69348	6.47585e-4	69223	660	69099	350	68599	-3.36	68724	0	69597	-4.8	68474	0	69472	0	---	---	
70096	12298	70221	0	69972	81	70096	1	69847	0.0	70720	0	70346	0	69722	151	70845	4322	70221	-4.2	70596	50.5058	70471	806.359	70221	25.14	70096	0.0	69972	0.0	69847	6.47585e-4	70596	6.41545e-4	70471	660	70346	350	69847	-3.36	69972	0	70845	-4.8	69722	0	70721	0	---	---	
71345	12298	71474	0	71220	81	71345	1	71095	0.0	72093	0	71719	0	70970	151	72218	4322	71474	-4.2	71968	50.5058	71844	806.359	71474	25.14	71345	0.0	71220	0.0	71095	6.47585e-4	71968	6.41545e-4	71844	660	71719	350	71095	-3.36	71220	0	72218	-4.8	70970	0	72093	0	---	---	
