15194	-110686	15319	-1	16318	71	15194	2	16193	0.0	15818	0	15444	0	16068	0	15943	472	15319	0.2	15694	223.861	15569	714.042	15319	25.14	15194	35.548	16318	30.3681	16193	3.8677	15694	3.90411	15569	660	15444	350	16193	-0.65	16318	-1	15943	-3.9	16068	0	15818	0	16068	142951402	---	---	
16442	-110686	16567	-1	17613	71	16442	2	17488	0.0	17115	0	16692	0	17363	0	17238	472	16567	0.2	16942	223.861	16817	714.042	16567	25.14	16442	35.548	17613	30.3681	17488	3.90411	16942	3.8677	16817	660	16692	350	17488	-0.65	17613	0	17238	-3.9	17363	0	17115	0	17363	142951402	---	---	
17737	-110686	17862	0	18876	71	17737	2	18751	0.0	18377	0	17987	0	18627	0	18502	472	17862	0.2	18252	223.861	18112	714.042	17862	25.14	17737	35.548	18876	30.413	18751	3.8677	18252	3.8677	18112	660	17987	350	18751	-0.65	18876	0	18502	-3.9	18627	0	18377	0	18627	142951402	---	---	
19001	-110686	19126	0	20109	71	19001	2	19984	0.0	19610	0	19241	0	19859	0	19734	472	19126	0.2	19485	223.861	19360	714.042	19126	25.14	19001	35.548	20109	30.3681	19984	3.8677	19485	3.90411	19360	660	19241	350	19984	-0.65	20109	0	19734	-3.9	19859	0	19610	0	19859	142951402	---	---	
20234	-110686	20359	0	21357	71	20234	2	21232	0.0	20858	0	20483	0	21108	0	20983	472	20359	0.2	20733	223.861	20608	714.042	20359	25.14	20234	35.548	21357	30.3681	21232	3.8677	20733	3.90411	20608	660	20483	350	21232	-0.65	21357	-1	20983	-3.9	21108	0	20858	0	21108	142951402	---	---	
21482	-110686	21607	-1	22621	71	21482	2	22496	0.0	22106	0	21732	0	22373	0	22231	472	21607	0.2	21981	223.861	21856	714.042	21607	25.14	21482	35.548	22621	30.3681	22496	3.90411	21981	3.8677	21856	660	21732	350	22496	-0.65	22621	-1	22231	-3.9	22373	0	22106	0	22373	142951402	---	---	
22746	-110686	22871	-1	23854	71	22746	2	23729	0.0	23370	0	22995	0	23604	0	23479	472	22871	0.2	23245	223.861	23120	714.042	22871	25.14	22746	35.4845	23854	30.3681	23729	3.90411	23245	3.8677	23120	660	22995	350	23729	-0.65	23854	-1	23479	-3.9	23604	0	23370	0	23604	142951402	22992	PM5RecipeExecutionPolicyStepStarted/TSO_A_Evac/PM5	
23978	-110686	24103	-1	25086	71	23978	2	24961	0.0	24587	0	24228	0	24836	0	24712	472	24103	0.2	24467	223.861	24353	714.042	24103	25.14	23978	35.548	25086	30.3681	24961	3.8677	24467	3.8677	24353	660	24228	350	24961	-0.65	25086	-1	24712	-3.9	24836	0	24587	0	24836	142951402	24489	PM5RecipeExecutionPolicyStepStopped/TSO_A_Evac/PM5	
25211	-110686	25335	-1	26427	71	25211	3	26303	8.4	25881	2000	25460	0	26131	0	26006	472	25336	0.2	25757	223.861	25631	714.042	25336	25.14	25211	35.6114	26427	30.3232	26303	3.7959	25757	3.7959	25631	660	25460	350	26303	-0.65	26427	-1	26006	-3.9	26131	49	25881	0	26131	142951402	24549	PM5RecipeExecutionPolicyStepStarted/TSO_A_Stab/PM5	
26552	-110686	26677	-1	27737	69	26552	3	27566	8.34	27207	2000	26802	238	27448	0	27332	0	26677	0.2	27082	223.86	26958	714.041	26677	25.14	26552	35.4845	27737	30.3232	27566	3.7959	27082	3.7605	26958	660	26802	350	27566	-0.65	27737	-64	27332	-3.9	27448	86	27207	1	27448	142951402	---	---	
27862	-110686	27987	-64	28985	69	27862	3	28860	8.32	28502	2000	28129	240	28747	0	28626	0	27987	0.2	28377	223.86	28252	714.041	27987	25.14	27862	35.548	28985	30.3232	28860	3.7959	28377	3.7959	28252	660	28129	350	28860	-0.65	28985	-64	28626	-3.9	28747	86	28502	1	28747	142951402	---	---	
